naslov,avtor,cas_priprave,cas_kuhanja,stevilo_ocenjevalcev,ocena,dieta,zvrst
"Creamy chilli, bacon and tomato spaghetti",Justine Pattison,0-30,10-30,26,5.0,0,Main course
Creamy cockle chowder,The Hairy Bikers,0-30,10-30,1,5.0,0,Light meals and snacks
Creamy cod poached with white wine and milk,Ben O'Donoghue,0-30,10-30,0,0.0,0,Main course
Creamy coriander chutney,Jo Pratt,0-30,0,0,0.0,Vegetarian,Other
Creamy courgette pasta with peas,Antony Worrall Thompson,0-30,10-30,16,4.44,Vegetarian,Main course
Creamy courgette soufflé,Hugh Fearnley-Whittingstall,0-30,30-60,0,0.0,Vegetarian,Light meals and snacks
Creamy custard,William Leigh,0-30,10-30,3,4.33,Vegetarian,Desserts
Creamy haddock gratins,The Hairy Bikers,0-30,10-30,1,5.0,0,Main course
Creamy leek and cheddar bake,Gino D'Acampo,0-30,10-30,0,0.0,Vegetarian,Recipe
"Creamy leek, broccoli and Stilton linguine",Brian Turner,0-30,10-30,1,5.0,Vegetarian,Main course
"Creamy leeks with feta, griddled potato and red pepper skewers",Maria Elia,0-30,10-30,0,0.0,Vegetarian,Main course
Creamy lentils and rice,Anjum Anand,0-30,10-30,11,4.64,Vegetarian,Main course
Creamy lentils with smoked haddock,Jenny Chandler,0-30,30-60,5,4.8,0,Main course
Creamy mushroom chicken,Deborah Reddihough,0-30,10-30,103,4.15,0,Main course
Creamy mushroom pancakes,Rachel Phipps,0-30,10-30,6,5.0,Vegetarian,Main course
Creamy mushroom pancakes with thyme-roasted tomatoes,Lesley Waters,0-30,10-30,1,5.0,Vegetarian,Main course
Creamy mushroom pasta,Antony Worrall Thompson,0-30,0-10,28,4.86,Vegetarian,Main course
Creamy mushroom pasta with pancetta,Lorraine Pascale,0-30,10-30,4,5.0,0,Main course
Creamy mushroom ragù with nutmeg mash,Lesley Waters,0-30,10-30,0,0.0,Vegetarian,Main course
Creamy mushroom soup,Antony Worrall Thompson,0-30,0-10,6,5.0,Vegetarian,Light meals and snacks
Creamy mushroom tagliatelle,James Martin,0-30,0-10,1,5.0,Vegetarian,Main course
Creamy mushrooms on toast,Antony Worrall Thompson,0-30,10-30,2,5.0,Vegetarian,Recipe
Creamy mussel pasta,Tony Tobin,0-30,0-10,0,0.0,0,Main course
Creamy onion soup with cheese croûtons,Lesley Waters,0-30,10-30,0,0.0,Vegetarian,Light meals and snacks
Creamy onion tart,James Martin,0-30,10-30,1,5.0,Vegetarian,Recipe
Creamy paprika chicken,Mary Berry,0-30,10-30,32,4.84,0,Main course
Creamy parsnip and apple soup,The Hairy Bikers,0-30,30-60,27,4.48,Vegetarian,Light meals and snacks
Creamy pasta sauce,Justine Pattison,0-30,10-30,10,3.6,Vegetarian,Main course
Creamy pasta with cherry tomato and prosciutto,Gino D'Acampo,0-30,10-30,1,5.0,0,Main course
Creamy pasta with salmon,Gino D'Acampo,0-30,10-30,36,4.67,0,Main course
Creamy potato salad with salmon and prawns,Mary Berry,0-30,10-30,9,5.0,0,Light meals and snacks
"Creamy rocket, lettuce and mint soup with garlic croûtons",Lesley Waters,0-30,10-30,0,0.0,Vegetarian,Light meals and snacks
Creamy salmon pasta bake,James Martin,0-30,10-30,11,4.27,0,Main course
Creamy sausage pasta bake ,Justine Pattison,0-30,30-60,16,5.0,0,Main course
Creamy shiitake broth with griddled sesame beef,Lesley Waters,0-30,10-30,0,0.0,0,Recipe
Creamy sweetcorn soup,Nick Nairn,0-30,10-30,10,4.8,Vegetarian,Light meals and snacks
Creamy truffle pizza,Tom Aikens,overnight,10-30,2,5.0,Vegetarian,Main course
Creamy tuna and leeks on toast,Richard Phillips,0-30,10-30,0,0.0,0,Starters and nibbles
Creamy white wine chicken,Donal Skehan,0-30,10-30,24,4.62,0,Main course
Creole aubergines,Levi Roots,0-30,30-60,1,4.0,Vegetarian,Side dishes
Creole gumbo with cornbread,Shivi Ramoutar,0-30,30-60,16,4.25,0,Main course
Creole spice mix,Shivi Ramoutar,0-30,0-10,1,1.0,Vegetarian,Recipe
Creole spiced squash with molasses chicken,Shivi Ramoutar,0-30,60-120,5,4.8,0,Main course
Cricket cake with strawberries and lemon curd ,Mary Berry,30-60,10-30,3,5.0,Vegetarian,Cakes and baking
Crisp bacon rosti with fried eggs,Mary Berry,0-30,10-30,5,5.0,0,Brunch
Crisp battered sea bass on finely chopped new potatoes,James Tanner,0-30,0-10,0,0.0,0,Main course
Crisp breadcrumbed squid with creamy ponzu dressing and Chinese leaf salad,James Martin,0-30,0-10,0,0.0,0,Light meals and snacks
Crisp chilli chicken,Selin Kiazim,00-120,60-120,0,0.0,0,Main course
Crisp fried monkfish with chilli tomato salsa and okra,Paul Rankin,0-30,10-30,0,0.0,0,Recipe
Crisp fried plaice,Mitch Tonks,0-30,0-10,1,5.0,0,Main course
Crisp fried prawns in kadaifi pastry with harissa and preserved lemon salsa,Paul Rankin,0-30,0-10,0,0.0,0,Starters and nibbles
Crisp fried sea bass fillet with pineapple salsa,Paul Rankin,0-30,0-10,0,0.0,0,Recipe
"Crisp goats' cheese, herb and tomato salad",Nick Nairn,0-30,0,0,0.0,Vegetarian,Recipe
"Crisp lemon sole with chilli, sesame and soy",Nic Watt,30-60,10-30,0,0.0,0,Main course
"Crisp noodle salad with herbs, chilli and sesame seeds",Phil Vickery,0-30,0-10,0,0.0,Vegetarian,Recipe
Crisp noodles with soy sauce and chilli,Nick Nairn,0-30,10-30,1,5.0,Vegetarian,Starters and nibbles
"Crisp octopus, roasted fennel and apple with a liquorice dressing ",Michel Roux Jr.,overnight,60-120,0,0.0,0,Light meals and snacks
Crisp onion and rocket salad,Nick Nairn,0-30,0-10,1,4.0,Vegetarian,Recipe
Crisp pancetta and herb salad,Lesley Waters,0-30,0-10,0,0.0,0,Recipe
Crisp paprika chicken on chorizo rice,Nick Nairn,0-30,10-30,0,0.0,0,Main course
"Crisp parma ham, rocket and croûton salad with gorgonzola dressing",James Tanner,0-30,0-10,1,5.0,0,Recipe
Crisp pork belly with Chinese greens,James Martin,overnight,00-120,0,0.0,0,Main course
Crisp pork belly with deep-fried quail’s eggs and brown sauce,Matt Tebbutt,overnight,00-120,0,0.0,0,Main course
"Crisp pork belly with oyster stew, thyme and fennel",Matt Tebbutt,0-30,00-120,1,5.0,0,Main course
Crisp roasted salmon with sweet and sour peppers,James Tanner,0-30,10-30,0,0.0,0,Main course
Crisp salmon with turmeric rice and warm tomato dressing,Alex Mackay,0-30,10-30,0,0.0,0,Main course
Crisp sea bass tortillas with pink pickled onion,Valentine Warner,30-60,10-30,2,5.0,0,Recipe
Crisp sweet and sour pork with yam chips,Nick Nairn,0-30,10-30,0,0.0,0,Main course
"Crisp tofu with chilli, garlic, spinach and soy mushrooms",Tony Tobin,0-30,0-10,1,4.0,Vegetarian,Main course
Crisp winter slaw,Nigel Slater,0-30,0-10,4,5.0,Vegetarian,Side dishes
"Crisp, chocolate and salted peanut tart",Nadiya Hussain,0-30,00-120,13,3.23,Vegetarian,Cakes and baking
Crispy Mongolian lamb lettuce wraps,Ching-He Huang,30-60,10-30,0,0.0,0,Main course
Crispy bacon pancakes with honey,Tony Tobin,30-60,10-30,0,0.0,0,Recipe
Crispy breadcrumbed squid with creamy ponzu dressing,James Martin,0-30,10-30,0,0.0,0,Starters and nibbles
Crispy chicken and sun-dried tomato spring rolls,Ken Hom,30-60,10-30,0,0.0,0,Light meals and snacks
Crispy chicken cordon bleu,The Hairy Bikers,0-30,10-30,1,5.0,0,Main course
Crispy chicken salad,Nick Nairn,0-30,10-30,0,0.0,0,Starters and nibbles
"Crispy chicken thighs with avocado, chargrilled asparagus, chorizo and aioli",Stephen Terry,0-30,60-120,0,0.0,0,Main course
Crispy chicken with braised aubergine,Ken Hom,1-20,10-30,5,4.8,0,Main course
Crispy chicken with sweet potato fries and barbecue beans,Nadiya Hussain,30-60,30-60,3,5.0,0,Main course
Crispy chilli beef,Andrew Wong,00-120,10-30,0,0.0,0,Main course
Crispy chilli beef ,James Martin,0-30,10-30,2,5.0,0,Main course
Crispy deep-fried sole with spicy mango salsa,Paul Rankin,0-30,0-10,0,0.0,0,Main course
Crispy duck breast with glazed miso aubergine and edamame beans,James Martin,0-30,10-30,1,5.0,0,Main course
Crispy duck pancakes,Paul Rankin,0-30,0-10,0,0.0,0,Recipe
Crispy duck pancakes with chilli-plum sauce,James Martin,0-30,60-120,0,0.0,0,Main course
Crispy duck salad,Tom Kerridge,0-30,00-120,3,4.33,0,Starters and nibbles
Crispy duck with apricot and plum sauce,Ching-He Huang,0-30,10-30,2,5.0,0,Main course
Crispy fish fingers,Kate Morris and Sally Brown,0-30,10-30,0,0.0,0,Light meals and snacks
Crispy fragrant duck with pickled radish salad,Ching-He Huang,overnight,10-30,1,5.0,0,Recipe
"Crispy gnocchi with crème fraîche, cabbage and Sichuan pepper",Rukmini Iyer,0-30,10-30,0,0.0,Vegetarian,Main course
Crispy haggis and potato pancake with a spinach salad and warm whisky and bacon dressing,Nick Nairn,0-30,10-30,0,0.0,0,Light meals and snacks
Crispy lamb belly with hot cakes and spiced feta,Matt Tebbutt,30-60,00-120,0,0.0,0,Main course
Crispy noodle omelette,Donna Hay,0-30,0-10,0,0.0,Vegetarian,Light meals and snacks
Crispy onion rings,James Tanner,0-30,0-10,2,3.0,Vegetarian,Side dishes
Crispy parmesan chicken,Gary Rhodes,0-30,10-30,1,4.0,0,Main course
Crispy pigs’ cheeks and deep-fried shallots with taramasalata and flatbread,Tom Kerridge,0-30,00-120,0,0.0,0,Light meals and snacks
Crispy potato and cheese fritters,Tim Maddams,0-30,10-30,5,5.0,Vegetarian,Brunch
Crispy potato peeling crisps with squash ketchup,Tim Maddams,0-30,30-60,2,5.0,Vegetarian,Light meals and snacks
Crispy potato skins,Antony Worrall Thompson,0-30,60-120,1,5.0,Vegetarian,Recipe
Crispy roast parsnips,Antony Worrall Thompson,0-30,30-60,0,0.0,0,Recipe
Crispy roast pork belly with egg fried rice,Ken Hom,overnight,00-120,3,4.67,0,Main course
Crispy root vegetable skewers,Maria Elia,0-30,10-30,0,0.0,0,Starters and nibbles
"Crispy salmon, polenta chips and grilled asparagus",Lorraine Pascale,30-60,10-30,1,5.0,0,Main course
Crispy sea bass with chilli and lemongrass noodles,Matt Tebbutt,0-30,0-10,0,0.0,0,Main course
Crispy sesame pork with samphire ,Anna Haugh,0-30,10-30,0,0.0,0,Main course
Crispy stuffed mushrooms,Rachel Allen,0-30,10-30,0,0.0,Vegetarian,Starters and nibbles
"Crispy-skinned chicken, herbed gnocchi and mushroom sauce",John Torode,30-60,30-60,1,2.0,0,Main course
Croissant and brown butter sauce ,Paul Ainsworth,0-30,10-30,1,5.0,Vegetarian,Side dishes
Croissants,James Martin,overnight,10-30,2,4.5,Vegetarian,Cakes and baking
Croque madame,Paul Ainsworth,0-30,10-30,13,3.92,0,Light meals and snacks
Croque monsieur kites,Candice Brown,1-20,30-60,1,5.0,0,Cakes and baking
Crostini with pepper and dolcelatte,James Tanner,0-30,10-30,0,0.0,Vegetarian,Recipe
Croustade with caramelised oranges,Nick Nairn,0-30,10-30,0,0.0,Vegetarian,Desserts
Croziflette baked pasta with blue cheese and croutons,Matt Tebbutt,0-30,30-60,2,4.5,Vegetarian,Main course
Crumpets,Paul Hollywood,1-20,10-30,7,3.71,Vegetarian,Cakes and baking
Crunchy banana yoghurt,Justine Pattison,0-30,0,3,3.67,Vegetarian,Brunch
Crunchy chicken cutlets,Nigella Lawson,0-30,60-120,12,4.5,0,Main course
Crunchy fish tacos,Matt Tebbutt,0-30,10-30,1,5.0,0,Main course
Crunchy palak paneer,The Hairy Bikers,0-30,10-30,1,5.0,Vegetarian,Main course
Crushed new potatoes,Bonnie and Peter Woods,0-30,10-30,0,0.0,Vegetarian,Recipe
"Crushed potato and leek cake, with crispy parma ham",James Tanner,0-30,10-30,0,0.0,0,Starters and nibbles
Crushed truffle potatoes,James Tanner,0-30,10-30,0,0.0,Vegetarian,Recipe
Crusted lamb cutlets with crushed Roquefort potatoes,Lesley Waters,0-30,10-30,0,0.0,0,Main course
Crusted lamb with honey and lemon-roasted parsnips,Nick Nairn,0-30,10-30,0,0.0,0,Main course
Crustless quiche Lorraine,Sunil Vijayakar,30-60,0-10,11,4.18,0,Main course
Crystallised flowers,Kaia England,overnight,0,1,5.0,Vegetarian,Desserts
Crème brûlée,John Burton Race,0-30,30-60,0,0.0,Vegetarian,Desserts
Crème brûlée,Simon Rimmer,0-30,10-30,7,4.29,Vegetarian,Desserts
Crème brûlée with almond snap biscuits,Bryn Williams,0-30,30-60,0,0.0,Vegetarian,Desserts
Crème brûlée with marinated autumn fruits and mint broth,Michael Caines,00-120,30-60,0,0.0,Vegetarian,Desserts
Crème caramel with a lemon crumble topping and berries,Glynn Purnell,0-30,30-60,0,0.0,Vegetarian,Desserts
Crème caramel with biscotti,James Martin,0-30,60-120,0,0.0,Vegetarian,Desserts
Crêpes suzette,James Martin,1-20,30-60,1,4.0,Vegetarian,Desserts
Crêpes with clementines and brandy butter,Matt Tebbutt,0-30,10-30,0,0.0,0,Desserts
Crêpes with orange butter sauce,Michel Roux,1-20,30-60,0,0.0,Vegetarian,Desserts
Crêpes with raspberries and cream,Paul Rankin,0-30,0-10,0,0.0,Vegetarian,Desserts
Crêpes with strawberries and cream,Paul Rankin,0-30,0-10,0,0.0,Vegetarian,Desserts
Cuba libre,Andy Pearson,0-30,0,0,0.0,Vegetarian,Drinks and cocktails
Cuban pork shoulder with fennel salad,Matt Tebbutt,overnight,00-120,0,0.0,0,Main course
Cuban sandwich,Emily Angle,0-30,10-30,3,3.67,0,Light meals and snacks
Cuban summer,Andy Pearson,0-30,0,0,0.0,Vegetarian,Drinks and cocktails
Cucumber and dill fridge pickle ,Pam Corbin,1-20,0,1,5.0,Vegetarian,Side dishes
Cucumber and mint raita,Jo Pratt,0-30,0,5,5.0,Vegetarian,Other
Cucumber ribbon salad with lime and sesame,Maria Elia,0-30,0,0,0.0,Vegetarian,Starters and nibbles
Cucumber ribbon salad with olive and caper dressing,Maria Elia,0-30,0,1,4.0,Vegetarian,Recipe
Cullen skink,The Hairy Bikers,0-30,30-60,8,4.75,0,Light meals and snacks
Cullen skink with quails’ eggs and scallops,Matt Tebbutt,0-30,10-30,0,0.0,0,Light meals and snacks
Cumberland rum Nicky,Paul Hollywood,0-30,30-60,1,5.0,Vegetarian,Desserts
Cumberland sauce,Simon Rimmer,0-30,0-10,1,5.0,0,Other
Cumin and sumac-crusted barramundi with avocado hummus,Silvena Rowe,0-30,0-10,0,0.0,0,Main course
Cumin and yoghurt chicken with cucumber and dill salad,Rachel Allen,overnight,30-60,3,4.67,0,Main course
Cumin carrots,Roopa Gulati,0-30,10-30,0,0.0,Vegetarian,Side dishes
Cumin duck with peas and roasted baby beetroots and shallots,James Martin,0-30,30-60,0,0.0,0,Main course
Cumin roast carrots,Nick Nairn,0-30,10-30,2,4.5,Vegetarian,Side dishes
Cumin roast vegetables,The Hairy Bikers,0-30,60-120,3,5.0,Vegetarian,Side dishes
Cup cakes,James Martin,0-30,10-30,0,0.0,Vegetarian,Cakes and baking
"Cured grilled mackerel, cucumber, pickled lemon, broad beans and peas",Ashley Palmer Watts,overnight,10-30,0,0.0,0,Light meals and snacks
Cured mackerel with pickled vegetables and sweet cured gooseberries,Matt Tebbutt,30-60,0-10,0,0.0,0,Light meals and snacks
"Cured organic salmon with potato bread, hen’s egg and green butter sauce",Danny Millar,0-30,10-30,0,0.0,0,Main course
"Cured strawberries, strawberry ice cream and amaretti biscuits ",Tom Kerridge,00-120,0,0,0.0,Vegetarian,Desserts
Curly kale (or cavolo nero) with rosemary and chilli,Sophie Grigson,0-30,10-30,8,5.0,Vegetarian,Side dishes
Curly pie,The Hairy Bikers,30-60,30-60,1,3.0,Vegetarian,Recipe
Curranty cordial ,Jo Wesley and Avril Rogers,1-20,10-30,1,5.0,Vegetarian,Drinks and cocktails
Curried carrot soup,Michael Caines,0-30,30-60,22,4.64,Vegetarian,Light meals and snacks
Curried cauliflower soup,James Martin,0-30,10-30,5,5.0,Vegetarian,Starters and nibbles
Curried chicken and rice salad ,Justine Pattison,0-30,30-60,7,3.86,0,Light meals and snacks
Curried chowder with chive sea bass,Matt Tebbutt,0-30,30-60,1,5.0,0,Main course
Curried cod pasties,Paul Hollywood,0-30,30-60,0,0.0,0,Light meals and snacks
Curried crab and avocado tian,Tom Kitchin,1-20,10-30,0,0.0,0,Light meals and snacks
Curried crispy seabass and cauliflower ,Ellis Barrie,0-30,10-30,0,0.0,0,Light meals and snacks
Curried lamb cutlets with tomatoes and green sauce,Valentine Warner,1-20,60-120,0,0.0,0,Main course
Curried mussels with frites,James Martin,0-30,10-30,0,0.0,0,Recipe
Curried paneer with tzatziki and pitta bread,Gino D'Acampo,0-30,10-30,0,0.0,Vegetarian,Recipe
Curried parsnip soup,James Martin,0-30,30-60,8,5.0,Vegetarian,Light meals and snacks
Curry and lime spiced popcorn,Sunil Vijayakar,0-30,0-10,1,1.0,Vegetarian,Light meals and snacks
Curry mee,John Torode,0-30,10-30,1,3.0,0,Main course
Curry mutton,Neneh Cherry and Andi Oliver,overnight,00-120,2,4.5,0,Main course
Curry poussins ,Valentine Warner,30-60,10-30,0,0.0,0,Main course
Curry-spiced lentils with cheese hot cakes,Matt Tebbutt,0-30,30-60,5,4.4,Vegetarian,Brunch
Custard and nutmeg tart with rhubarb and ginger,Matt Tebbutt,overnight,00-120,0,0.0,Vegetarian,Cakes and baking
"Custard doughnuts with ricotta, blackberries and pistachios",Matt Tebbutt,1-20,10-30,1,4.0,Vegetarian,Desserts
Custard slice,Paul Hollywood,30-60,30-60,13,3.77,Vegetarian,Cakes and baking
Custard tart,Alan Bennett,0-30,30-60,3,5.0,Vegetarian,Cakes and baking
Custard tart with Garibaldi biscuits,Marcus Wareing,1-20,30-60,1,5.0,Vegetarian,Cakes and baking
"Custard tart with sugared walnuts, ice cream and caramel",James Martin,30-60,60-120,1,5.0,Vegetarian,Desserts
Custard-soaked brioche pudding,Dan Doherty,30-60,30-60,0,0.0,Vegetarian,Desserts
Cuttlefish bolognaise,Pierre Koffmann,00-120,10-30,1,5.0,0,Main course
Cuttlefish or squid stew,The Hairy Bikers,0-30,60-120,1,4.0,0,Main course
"Cypriot lamb with potatoes, tomatoes and onions",Matt Tebbutt,overnight,00-120,2,5.0,0,Main course
Côte de boeuf with béarnaise sauce,James Martin,0-30,30-60,0,0.0,0,Main course
Dad’s Chinese chicken curry,Jack Monroe,0-30,10-30,51,3.63,0,Main course
Daffodil biscuits,Annie Rigg,1-20,10-30,3,5.0,Vegetarian,Cakes and baking
Dal chicken with chilli paneer and naan,James Martin,00-120,30-60,0,0.0,0,Main course
Dal makhani ,Jack Monroe,30-60,10-30,40,4.55,Vegetarian,Main course
Dampfnudel,Paul Hollywood,1-20,30-60,8,4.38,Vegetarian,Desserts
Damson cobbler,Rick Stein,0-30,30-60,4,4.0,Vegetarian,Desserts
Dan Lepard's white bread,Dan Lepard,00-120,30-60,26,4.54,Vegetarian,Cakes and baking
Danish pastry with sweet or savoury fillings,Paul Hollywood,00-120,60-120,2,4.0,Vegetarian,Cakes and baking
Dark and sumptuous chocolate cake,Nigella Lawson,0-30,30-60,17,4.71,Vegetarian,Cakes and baking
Dark cherry and hazelnut biscotti,James Martin,0-30,10-30,1,5.0,Vegetarian,Cakes and baking
Dark chocolate and fresh fig tarts,James Martin,30-60,30-60,0,0.0,Vegetarian,Desserts
Dark chocolate polenta cake with salted caramel sauce,Donal Skehan,0-30,30-60,1,5.0,Vegetarian,Desserts
Dark chocolate tart with Turkish delight,James Martin,30-60,60-120,0,0.0,Vegetarian,Desserts
Dark chocolate éclair,James Martin,0-30,30-60,0,0.0,Vegetarian,Cakes and baking
"Dark chocolate, sea salted caramel, chocolate truffle and cookie dough",Paul A Young,0-30,60-120,7,3.71,0,Desserts
Date and toffee pudding with caramelised bananas and the ultimate toffee sauce ,Tom Kerridge,1-20,10-30,1,5.0,Vegetarian,Desserts
Date parcels stuffed with frangipane and pomegranate,Jackie Kearney,1-20,30-60,0,0.0,Vegetarian,Desserts
Daube de boeuf Provençal,Eric Chavot,0-30,00-120,3,3.67,0,Main course
Daube of beef with greens and colcannon mash,Allegra McEvedy,0-30,00-120,2,3.0,0,Main course
Dauphinoise potatoes,Mike Robinson,0-30,30-60,29,4.62,Vegetarian,Side dishes
Deconstructed cream tea,Paul Hollywood,0-30,30-60,0,0.0,Vegetarian,Cakes and baking
Deconstructed kebab,Tomer Amedi,overnight,30-60,1,5.0,0,Main course
Deep fried calamari with garlic and lemon mayonnaise,Jo Pratt,0-30,0-10,2,3.5,0,Main course
Deep fried soft-shell crab with aioli and a watercress salad,James Martin,1-20,0-10,0,0.0,0,Light meals and snacks
Deep fried whiting in oatmeal with a warm potato salad,Lawrence Keogh,30-60,30-60,0,0.0,0,Main course
Deep-dish Bakewell tart with cream,James Martin,0-30,30-60,3,3.33,Vegetarian,Cakes and baking
Deep-filled homity pie,The Hairy Bikers,0-30,30-60,19,4.47,Vegetarian,Main course
Deep-filled lemon meringue pie,The Hairy Bikers,0-30,60-120,1,3.0,Vegetarian,Desserts
Deep-fried aubergine with halibut and miso,James Martin,0-30,10-30,0,0.0,0,Light meals and snacks
Deep-fried calamari with lemon mayonnaise,David Laris,00-120,0-10,0,0.0,0,Main course
